feature,name,address,website,longitude,latitude,location
Basketball Courts,Pratt Park,1800 S Main St.,http://www.seattle.gov/parks/park_detail.asp?ID=390,-122.307257,47.601407,"(47.601407, -122.307257)"
Basketball Courts,Othello Playground,4351 S Othello St.,http://www.seattle.gov/parks/park_detail.asp?ID=403,-122.278678,47.536135,"(47.536135, -122.278678)"
Basketball Courts,Maple Wood Playfield,4801 Corson Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=418,-122.319112,47.558614,"(47.558614, -122.319112)"
Basketball Courts,Benefit Playground,9320 38th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=436,-122.284527,47.518998,"(47.518998, -122.284527)"
Basketball Courts,Alki Playground,8347 14th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=446,-122.407313,47.578497,"(47.578497, -122.407313)"
Basketball Courts,Riverview Playfield,7226 12th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=463,-122.348688,47.54101,"(47.54101, -122.348688)"
Basketball Courts,Ravenna-Eckstein Park,6535 Ravenna Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=488,-122.304964,47.676873,"(47.676873, -122.304964)"
Basketball Courts,Prentis I. Frazier Park,401 24th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=357,-122.301614,47.622894,"(47.622894, -122.301614)"
Basketball Courts,Nathan Hale Playfield,10750 30th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=4023,-122.292026,47.707714,"(47.707714, -122.292026)"
Basketball Courts,Denny Park,100 Dexter Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=309,-122.341049,47.61913,"(47.61913, -122.341049)"
Basketball Courts,Discovery Park,3801 W Government Way,http://www.seattle.gov/parks/park_detail.asp?ID=310,-122.41313,47.669412,"(47.669412, -122.41313)"
Basketball Courts,East Queen Anne Playground,1912 Warren Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=329,-122.353788,47.636139,"(47.636139, -122.353788)"
Basketball Courts,Kerry Park And Viewpoint,211 W Highland Dr.,http://www.seattle.gov/parks/park_detail.asp?ID=342,-122.359947,47.629173,"(47.629173, -122.359947)"
Basketball Courts,Powell Barnett Park,352 Martin Luther King Jr. Way,http://www.seattle.gov/parks/park_detail.asp?ID=345,-122.295998,47.605197,"(47.605197, -122.295998)"
Basketball Courts,Cascade Playground,333 Pontius Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=350,-122.332627,47.621807,"(47.621807, -122.332627)"
Beaches,Warren G Magnuson,6550 Sand Point Way NE,http://www.seattle.gov/parks/beach_detail.asp?ID=398,-122.246372,47.680572,"(47.680572, -122.246372)"
Beaches,Green Lake Park (East),7201 E Green Lake Dr. N,http://www.seattle.gov/parks/beach_detail.asp?ID=307,-122.329524,47.680357,"(47.680357, -122.329524)"
Beaches,Mt Baker Park,2521 Lake Park Dr. S,http://www.seattle.gov/parks/beach_detail.asp?ID=419,-122.287466,47.583471,"(47.583471, -122.287466)"
Beaches,Madison Park,E. Madison St. and E. Howe St.,http://www.seattle.gov/parks/beach_detail.asp?ID=369,-122.276475,47.63605,"(47.63605, -122.276475)"
Beaches,Madrona Park,853 Lake Washington Blvd.,http://www.seattle.gov/parks/beach_detail.asp?ID=370,-122.282475,47.609136,"(47.609136, -122.282475)"
Beaches,Green Lake Park (West),7201 E Green Lake Dr. N,http://www.seattle.gov/parks/beach_detail.asp?ID=9999,-122.339395,47.68202,"(47.68202, -122.339395)"
Beaches,Seward Park,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/beach_detail.asp?ID=428,-122.257434,47.551619,"(47.551619, -122.257434)"
Beaches,Pritchard Beach,8400 55th Ave. S,http://www.seattle.gov/parks/beach_detail.asp?ID=420,-122.263104,47.529735,"(47.529735, -122.263104)"
Beaches,Matthews Beach,9300 51st Ave. NE,http://www.seattle.gov/parks/beach_detail.asp?ID=347,-122.27274,47.696947,"(47.696947, -122.27274)"
Boat Launches,Fairview Park  Boat Launch,2900 Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=2975,-122.325368,47.647413,"(47.647413, -122.325368)"
Boat Launches,Cormorant Cove Park Boat Launch,3701 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=295,-122.41126,47.570967,"(47.570967, -122.41126)"
Boat Launches,Lowman Park Boat Launch,7017 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=461,-122.397522,47.540127,"(47.540127, -122.397522)"
Boat Launches,Duwamish Waterway Park Boat Launch,7900 10th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=705,-122.319716,47.531384,"(47.531384, -122.319716)"
Boat Launches,Golden Gardens Park Boat Launch,8498 Seaview Pl. NW,http://www.seattle.gov/parks/park_detail.asp?ID=9999,-122.403121,47.689725,"(47.689725, -122.403121)"
Boat Launches,Fairview Walkway Boat Launch,2900 Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=2975,-122.327462,47.631626,"(47.631626, -122.327462)"
Boat Launches,Day Street Boat Launch,1400 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=4082,-122.285738,47.590064,"(47.590064, -122.285738)"
Boat Launches,Stan Sayers/Mount Baker Rowing And Sailing Center Boat Launch,3800 Lake Washington Blvd. S.,http://www.seattle.gov/parks/park_detail.asp?ID=425,-122.278219,47.570356,"(47.570356, -122.278219)"
Boat Launches,Sand Point Magnuson Park-North Shore Boat Launch,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.265028,47.689261,"(47.689261, -122.265028)"
Boat Launches,Lincoln Park Boat Launch,8011 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=460,-122.394806,47.526098,"(47.526098, -122.394806)"
Boat Launches,Green Lake Small Craft Center,5900 W Green Lake Way N,http://www.seattle.gov/parks/park_detail.asp?ID=9998,-122.342949,47.671761,"(47.671761, -122.342949)"
Boat Launches,Alki Beach Park - West Boat Launch,1702 Alki Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=445,-122.414817,47.578243,"(47.578243, -122.414817)"
Boat Launches,Carkeek Park Landing,950 NW Carkeek Park Rd.,http://www.seattle.gov/parks/park_detail.asp?ID=240,-122.379763,47.712194,"(47.712194, -122.379763)"
Boat Launches,Leschi Park Boat Ramp,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.284211,47.601518,"(47.601518, -122.284211)"
Boat Launches,14th Ave. Nw Boat Ramp,NW 45th St. and 14 Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=4010,-122.373536,47.660775,"(47.660775, -122.373536)"
Boat Launches,Richey View Point Launch,63rd Ave. SW and Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=80,-122.413877,47.57242,"(47.57242, -122.413877)"
Boat Launches,Green Lake Park Cove Boat Lauch,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.330394,47.678938,"(47.678938, -122.330394)"
Boat Launches,Mccurdy Park Boat Launch,E Hamlin St. and E Park Dr. E,http://www.seattle.gov/parks/park_detail.asp?ID=372,-122.299178,47.645437,"(47.645437, -122.299178)"
Boat Launches,32nd Ave. West Boat Launch,The southern street end of 32nd Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=317,-122.398993,47.632366,"(47.632366, -122.398993)"
Boat Launches,Sunnyside Ave. N Boat Ramp,2301 NE Northlake Way,http://www.seattle.gov/parks/park_detail.asp?ID=3903,-122.330723,47.650292,"(47.650292, -122.330723)"
Boat Launches,Ferdinand Street Boat Launch,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.261655,47.557318,"(47.557318, -122.261655)"
Boat Launches,Terry Pettus Park Boat Launch,E Newton St. and Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=3889,-122.329456,47.636752,"(47.636752, -122.329456)"
Boat Launches,Seacrest Park Boat Launch,1531 California Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=455,-122.381226,47.589941,"(47.589941, -122.381226)"
Boat Launches,Atlantic City Boat Ramp,8702 Seward Park Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=4081,-122.263078,47.522834,"(47.522834, -122.263078)"
Boat Launches,South Lake Union Park Boat Launch,1000 Valley St.,http://www.seattle.gov/parks/park_detail.asp?ID=344,-122.338848,47.627015,"(47.627015, -122.338848)"
Boat Launches,Green Lake Park East Boat Launch,foot of NE 64th St.,http://www.seattle.gov/parks/park_detail.asp?ID=9996,-122.334113,47.675506,"(47.675506, -122.334113)"
Boat Launches,Beer Sheva Park Boat Launch,8650 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=440,-122.262859,47.523512,"(47.523512, -122.262859)"
Boat Launches,Matthews Beach Boat Launch,9300 51st Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=347,-122.271785,47.694564,"(47.694564, -122.271785)"
Boat Launches,Martha Washington Park Boat Launch,6612 57th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=432,-122.259287,47.542212,"(47.542212, -122.259287)"
Boat Launches,South Passage Park Boat Launch,3320 Fuhrman Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=377,-122.322486,47.652087,"(47.652087, -122.322486)"
Boat Launches,Alki Beach Park - East Boat Launch,1702 Alki Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=445,-122.402173,47.582912,"(47.582912, -122.402173)"
Boat Launches,Magnuson Park Boat Ramp,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.250113,47.676856,"(47.676856, -122.250113)"
Boat Launches,Green Lake Park West Boat Launch,NW of Duck Island,http://www.seattle.gov/parks/park_detail.asp?ID=9995,-122.342511,47.680833,"(47.680833, -122.342511)"
Boat Launches,Washington Park And Arboretum Boat Launch,2300 Arboretum Dr. E,http://www.seattle.gov/parks/park_detail.asp?ID=393,-122.292647,47.641707,"(47.641707, -122.292647)"
Boat Launches,Seward Park Boat Launch,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=428,-122.250639,47.54923,"(47.54923, -122.250639)"
Boat Launches,Eddie Vine Boat Ramp,8001 Seaview Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=243,-122.403454,47.686852,"(47.686852, -122.403454)"
Boat Launches,Magnuson Park Boat Launch,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.250151,47.675322,"(47.675322, -122.250151)"
Boat Launches,Stan Sayers Memorial Park Boat Ramp,3800 Lake Washington Blvd. S.,http://www.seattle.gov/parks/park_detail.asp?ID=425,-122.277162,47.571222,"(47.571222, -122.277162)"
Boat Launches,Don Armeni Boat Ramp,1222 Harbor Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3917,-122.382295,47.59274,"(47.59274, -122.382295)"
Ceremonies,Mount Baker Park,2521 Lake Park Dr. S,http://www.seattle.gov/parks/park_detail.asp?ID=419,-122.288481,47.580957,"(47.580957, -122.288481)"
Ceremonies,Parsons Gardens,650 W Highland Dr.,http://www.seattle.gov/parks/park_detail.asp?ID=324,-122.366082,47.629868,"(47.629868, -122.366082)"
Ceremonies,Camp Long,5200 35th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=4154,-122.37316,47.556242,"(47.556242, -122.37316)"
Ceremonies,Denny Blaine Park,200 Lake Washington Blvd. E,http://www.seattle.gov/parks/park_detail.asp?ID=3982,-122.280548,47.62011,"(47.62011, -122.280548)"
Ceremonies,Emma Schmitz Memorial Overlook,4503 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3920,-122.407119,47.562898,"(47.562898, -122.407119)"
Ceremonies,Jefferson Park,4165 16th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=114,-122.310923,47.56896,"(47.56896, -122.310923)"
Ceremonies,Kubota Gardens,9817 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=415,-122.266768,47.513064,"(47.513064, -122.266768)"
Ceremonies,Madison Park,E. Madison St. and E. Howe St.,http://www.seattle.gov/parks/park_detail.asp?ID=369,-122.276602,47.635779,"(47.635779, -122.276602)"
Ceremonies,Meridian Playground,4649 Sunnyside Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=1104,-122.332557,47.664157,"(47.664157, -122.332557)"
Ceremonies,Riverview Playfield,35th Ave. SW and SW Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=463,-122.348855,47.539328,"(47.539328, -122.348855)"
Ceremonies,Sunset Hill Park,7531 34th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=252,-122.40094,47.684033,"(47.684033, -122.40094)"
Ceremonies,Woodland Park,Aurora Ave. N and N 59th St.,http://www.seattle.gov/parks/park_detail.asp?ID=292,-122.344218,47.668906,"(47.668906, -122.344218)"
Ceremonies,Pritchard Island Beach,8400 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=420,-122.26283,47.528948,"(47.528948, -122.26283)"
Ceremonies,Seward Park,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=428,-122.25245,47.5543,"(47.5543, -122.25245)"
Ceremonies,Lake Union Park,1000 Valley St.,http://www.seattle.gov/parks/park_detail.asp?ID=344,-122.337477,47.627143,"(47.627143, -122.337477)"
Ceremonies,West Seattle Golf Course,4600 35th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=469,-122.369657,47.55986,"(47.55986, -122.369657)"
Ceremonies,Belvedere Park,3600 Admiral Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=447,-122.376896,47.580673,"(47.580673, -122.376896)"
Ceremonies,Bhy Kracke Park,1215 5th Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=304,-122.348403,47.630426,"(47.630426, -122.348403)"
Ceremonies,Carkeek Park,950 NW Carkeek Park Rd.,http://www.seattle.gov/parks/park_detail.asp?ID=240,-122.372409,47.710822,"(47.710822, -122.372409)"
Ceremonies,Colman Park,1800 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=405,-122.288612,47.58547,"(47.58547, -122.288612)"
Ceremonies,Discovery Park,3801 W Government Way,http://www.seattle.gov/parks/park_detail.asp?ID=310,-122.415282,47.66083,"(47.66083, -122.415282)"
Ceremonies,Don Armeni Boat Ramp,1222 Harbor Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3917,-122.38244,47.59291,"(47.59291, -122.38244)"
Ceremonies,Gas Works Park,2101 N Northlake Way,http://www.seattle.gov/parks/park_detail.asp?ID=293,-122.334906,47.645639,"(47.645639, -122.334906)"
Ceremonies,Golden Garden Park,8498 Seaview Pl. NW,http://www.seattle.gov/parks/park_detail.asp?ID=243,-122.40327,47.692105,"(47.692105, -122.40327)"
Ceremonies,Hamilton Viewpoint Park,1531 California Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=454,-122.389068,47.590747,"(47.590747, -122.389068)"
Ceremonies,Kerry Park And Viewpoint,211 W Highland Dr.,http://www.seattle.gov/parks/park_detail.asp?ID=342,-122.359874,47.629023,"(47.629023, -122.359874)"
Ceremonies,Kinnear Park,899 W Olympic Pl.,http://www.seattle.gov/parks/park_detail.asp?ID=314,-122.367207,47.627317,"(47.627317, -122.367207)"
Ceremonies,Licton Springs Park,9536 Ashworth Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=286,-122.338735,47.698542,"(47.698542, -122.338735)"
Ceremonies,Boren Park,15th Ave. E and E Olin Pl.,http://www.seattle.gov/parks/park_detail.asp?ID=362,-122.311628,47.635274,"(47.635274, -122.311628)"
Ceremonies,Madrona Park,853 Lake Washington Blvd.,http://www.seattle.gov/parks/park_detail.asp?ID=370,-122.282679,47.609299,"(47.609299, -122.282679)"
Ceremonies,Magnolia Park,1461 Magnolia Blvd. W,http://www.seattle.gov/parks/park_detail.asp?ID=317,-122.397349,47.633426,"(47.633426, -122.397349)"
Childrens Play Areas,Alki Playground - Whales Tail,5817 SW Lander St.,http://www.seattle.gov/parks/park_detail.asp?ID=446,-122.407161,47.579322,"(47.579322, -122.407161)"
Childrens Play Areas,Green Lake Park,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.327642,47.680649,"(47.680649, -122.327642)"
Childrens Play Areas,Bobby Morris Playfield,1635 11th Ave.,http://www.seattle.gov/parks/park_detail.asp?ID=3102,-122.319302,47.61654,"(47.61654, -122.319302)"
Childrens Play Areas,Madrona Park -Beach,853 Lake Washington Blvd.,http://www.seattle.gov/parks/park_detail.asp?ID=370,-122.282878,47.608642,"(47.608642, -122.282878)"
Childrens Play Areas,E. Queene Anne Playground,1912 Warren Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=329,-122.354092,47.635891,"(47.635891, -122.354092)"
Childrens Play Areas,Northacres Park,12718 1st Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=361,-122.328065,47.721376,"(47.721376, -122.328065)"
Childrens Play Areas,Jose Rizal Park,1008 12th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=433,-122.317604,47.591938,"(47.591938, -122.317604)"
Childrens Play Areas,Pinehurst Playground,12029 14th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=382,-122.314231,47.71627,"(47.71627, -122.314231)"
Childrens Play Areas,Van Asselt Playground,7200 Beacon Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=431,-122.295844,47.539268,"(47.539268, -122.295844)"
Childrens Play Areas,Maplewood Playfield,4801 Corson Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=418,-122.317796,47.560736,"(47.560736, -122.317796)"
Childrens Play Areas,Hutchinson Playground,S Norfolk St. and 59th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=439,-122.259535,47.514844,"(47.514844, -122.259535)"
Childrens Play Areas,Roxhill Park - School,2850 SW Roxbury St.,http://www.seattle.gov/parks/park_detail.asp?ID=464,-122.370335,47.518639,"(47.518639, -122.370335)"
Childrens Play Areas,Prentis Frazier Park,401 24th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=357,-122.301471,47.62283,"(47.62283, -122.301471)"
Childrens Play Areas,Bayview-Kinnear Park,2614 24th Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=303,-122.360237,47.6289,"(47.6289, -122.360237)"
Childrens Play Areas,Laurelhurst Playfield,4544 NE 41st St.,http://www.seattle.gov/parks/park_detail.asp?ID=340,-122.277838,47.659629,"(47.659629, -122.277838)"
Childrens Play Areas,Minor Playground,17th Ave. E and E Union St.,http://www.seattle.gov/parks/park_detail.asp?ID=3913,-122.310569,47.613126,"(47.613126, -122.310569)"
Childrens Play Areas,Rainier Community Center,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,-122.283408,47.561233,"(47.561233, -122.283408)"
Childrens Play Areas,Ross Playground,4320 4th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=248,-122.361217,47.660199,"(47.660199, -122.361217)"
Childrens Play Areas,Lincoln Park - Beach,8011 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=460,-122.394773,47.526345,"(47.526345, -122.394773)"
Childrens Play Areas,Lincoln Park - South,8011 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=460,-122.39478,47.527159,"(47.527159, -122.39478)"
Childrens Play Areas,Leschi Park,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.286993,47.600843,"(47.600843, -122.286993)"
Childrens Play Areas,Cascade Playground,333 Pontius Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=350,-122.332611,47.621666,"(47.621666, -122.332611)"
Childrens Play Areas,Brighton Playfield,6000 39th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=402,-122.282917,47.548573,"(47.548573, -122.282917)"
Childrens Play Areas,Powell Barnett Park,352 Martin Luther King Jr. Way,http://www.seattle.gov/parks/park_detail.asp?ID=345,-122.29592,47.604589,"(47.604589, -122.29592)"
Childrens Play Areas,Gas Works Park,2101 N Northlake Way,http://www.seattle.gov/parks/park_detail.asp?ID=293,-122.333523,47.645676,"(47.645676, -122.333523)"
Childrens Play Areas,Lake City Playground,2750 NE 125th St.,http://www.seattle.gov/parks/park_detail.asp?ID=4002,-122.299723,47.718097,"(47.718097, -122.299723)"
Childrens Play Areas,Judkins Park And Playfield,2150 S Norman St.,http://www.seattle.gov/parks/park_detail.asp?ID=397,-122.303915,47.59263,"(47.59263, -122.303915)"
Childrens Play Areas,Miller Playfield,400 19th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=373,-122.306979,47.621093,"(47.621093, -122.306979)"
Childrens Play Areas,Viewridge Playfield,4408 NE 70th St.,http://www.seattle.gov/parks/park_detail.asp?ID=444,-122.279969,47.679747,"(47.679747, -122.279969)"
Childrens Play Areas,Discovery Park,3801 W Government Way,http://www.seattle.gov/parks/park_detail.asp?ID=310,-122.40498,47.656073,"(47.656073, -122.40498)"
Childrens Play Areas,Wallingford Playfield,4219 Wallingford Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=449,-122.337,47.658949,"(47.658949, -122.337)"
Childrens Play Areas,Benefit Playground,9320 38th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=436,-122.284172,47.518527,"(47.518527, -122.284172)"
Childrens Play Areas,Riverview Playfield,7226 12th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=463,-122.349962,47.539281,"(47.539281, -122.349962)"
Childrens Play Areas,Alki Playground,5817 SW Lander St.,http://www.seattle.gov/parks/park_detail.asp?ID=446,-122.407731,47.577899,"(47.577899, -122.407731)"
Childrens Play Areas,Georgetown Playfield,750 S Homer St.,http://www.seattle.gov/parks/park_detail.asp?ID=410,-122.321488,47.552336,"(47.552336, -122.321488)"
Childrens Play Areas,Montlake Playfield,1618 E Calhoun St.,http://www.seattle.gov/parks/park_detail.asp?ID=376,-122.309449,47.641699,"(47.641699, -122.309449)"
Childrens Play Areas,Rainier Playfield,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,-122.285523,47.562628,"(47.562628, -122.285523)"
Childrens Play Areas,W. Magnolia Playfield,2518 34th Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=319,-122.400374,47.641467,"(47.641467, -122.400374)"
